"title","company","location","description","required_skills","experience_level"
"Chef 1","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, UI/UX Design, Digital Marketing, Database Management (SQL).","Cooking & Culinary Skills, UI/UX Design, Digital Marketing, Database Management (SQL)","3+ Years"
"Chef 2","Jio","Remote","Professional role requiring: UI/UX Design, Machine Learning, Digital Marketing, Web Development (HTML, CSS, JS).","UI/UX Design, Machine Learning, Digital Marketing, Web Development (HTML, CSS, JS)","3+ Years"
"Software Developer 3","Tesla","Remote","Professional role requiring: Machine Learning, Web Development (HTML, CSS, JS), Fashion Sketching, UI/UX Design, Cooking & Culinary Skills.","Machine Learning, Web Development (HTML, CSS, JS), Fashion Sketching, UI/UX Design, Cooking & Culinary Skills","5+ Years"
"Data Analyst 4","Microsoft","Remote","Professional role requiring: Project Management, Python Programming, Cooking & Culinary Skills, Database Management (SQL), UI/UX Design.","Project Management, Python Programming, Cooking & Culinary Skills, Database Management (SQL), UI/UX Design","3+ Years"
"Chef 5","Google","Remote","Professional role requiring: Fashion Sketching, Cooking & Culinary Skills, Project Management, Digital Marketing.","Fashion Sketching, Cooking & Culinary Skills, Project Management, Digital Marketing","1+ Years"
"Digital Marketer 6","Google","Remote","Professional role requiring: Python Programming, UI/UX Design.","Python Programming, UI/UX Design","2+ Years"
"Chef 7","Tesla","Remote","Professional role requiring: Vocal Training, Web Development (HTML, CSS, JS), Cooking & Culinary Skills.","Vocal Training, Web Development (HTML, CSS, JS), Cooking & Culinary Skills","2+ Years"
"Data Analyst 8","Jio","Remote","Professional role requiring: Database Management (SQL), Project Management, Cooking & Culinary Skills, Machine Learning.","Database Management (SQL), Project Management, Cooking & Culinary Skills, Machine Learning","2+ Years"
"Data Analyst 9","Jio","Remote","Professional role requiring: Machine Learning, UI/UX Design.","Machine Learning, UI/UX Design","4+ Years"
"Chef 10","Netflix","Remote","Professional role requiring: Machine Learning, Database Management (SQL).","Machine Learning, Database Management (SQL)","2+ Years"
"Fashion Designer 11","Zara","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL), Vocal Training.","Fashion Sketching, Database Management (SQL), Vocal Training","3+ Years"
"Software Developer 12","Microsoft","Remote","Professional role requiring: Fashion Sketching, Vocal Training, UI/UX Design, Machine Learning, Python Programming.","Fashion Sketching, Vocal Training, UI/UX Design, Machine Learning, Python Programming","3+ Years"
"Digital Marketer 13","Jio","Remote","Professional role requiring: Vocal Training, Cooking & Culinary Skills, Digital Marketing, Web Development (HTML, CSS, JS).","Vocal Training, Cooking & Culinary Skills, Digital Marketing, Web Development (HTML, CSS, JS)","5+ Years"
